character,dialog,seasons
Chris," shoves Meg out of the kitchen Oh, get out, Meg! Get out of the kitchen! Go on, get out! Out, out, out! Get out of the kitchen! Go on, and get out of here!",season 8
Peter," Heh, heh, heh.",season 8
Meg," Oh, well, that's only fair, because, after all, I did hide him from",season 8
Lois," Peter, Meg's been suspended from school.",season 8
Peter," That's okay, whatever she wants to do.",season 8
Lois," She cracked three kids' skulls open. Ever since she got out of prison, she's been completely out of control.",season 8
Chris," Oh, um, sorry, um... So what do your parents do?",season 8
Stewie, Is he playing a dick?,season 8
Quagmire," If you have sex with her, you give her all the power, and if you don't have sex with her, you're gay.",season 8
Quagmire," to Angela Thanks for having me in your home, and I would have had sex with you but Peter neglected to tell me you were a dumpster fire.",season 8
Peter, So you gonna introduce me to your little friends?,season 8
Stewie," That’s Trap-Jaw, that’s Optimus Prime, that’s Destro, and that’s a Care Bear.",season 8
Peter, You having a tea party?,season 8
Stewie," No, we’re working out a land deal. Trap-Jaw is trying to get a variance to build an unpermitted structure within 10 feet of Optimus Prime’s property line. Destro’s the city councilman who’s telling Trap-Jaw that he has to file it as an accessory structure and even then it can only be built at the rear of the lot. And the Care Bear is just a Care Bear.",season 8
Stewie," When you jumped through my ceiling, you let an owl in. I know they're supposed to be wise, but all it did was shriek and throw-up half-digested mice.",season 8
Brian, You've had energy bars this whole time? You idiot!,season 8
Stewie, Not energy bars. Jenny Craig Anytime Bars. And you bitched yourself out a bite.,season 8
Brian," All right, I'm sorry, all right? Can I have one, please?",season 8
Stewie, All right.,season 8
Brian, Can you give me a caramel one?,season 8
Stewie," No. You can have, um, um, you can have, um - You can have strawberry yogurt.",season 8
Brian, I don't like yogurt.,season 8
Stewie, Picky for someone who eats the same food out of a bowl on the floor every night.,season 8
Brian," Okay, I get it.",season 8
Stewie, A bowl that starts in the kitchen and ends up in the living room.,season 8
Brian, Shut up.,season 8
Stewie, Forgets four seconds later that he ate it.,season 8
Brian, Shut up!,season 8
Stewie," Ooh, harsh tone. You just got bumped down to coconut mint.",season 8
Stewie," Wanting to kill yourself... Well, I think that's pretty selfish of you.",season 8
Brian, How is that selfish?,season 8
Stewie, What would I do if you weren't here? Hmm? You're the only one who makes my life bearable.,season 8
Brian, I thought you said I was the best of a bad situation.,season 8
Stewie," I was just trying to hurt you because you hurt me. But the truth is you're my only friend, Brian. lf I didn't have you, I'd be lost.",season 8
Brian," Ah, you'd be okay.",season 8
Stewie," No, I wouldn't. I don't really care for anybody else. Just you. You're the only one I like.",season 8
Brian," Well, thanks.",season 8
Stewie," uncomfortable I like you a lot. I guess you could say I really like you. I would even dare to go a little further, perhaps. I care a great deal about you. A very great deal. Maybe even deeper than that. mumbling I... I love you. I mean, you know, not in like a, ""Hey, let's have an underpants party,"" or whatever grown-ups do when they're in love. I mean, I love you as one loves another person whom one simply cannot do without.",season 8
Brian," Well, I I love you too, Stewie.",season 8
Stewie, You give my life purpose. And maybe that's enough. Because that's just about the greatest gift one friend can give another.,season 8
Brian, Thank you.,season 8
Stewie, Hey.,season 8
Brian, What?,season 8
Stewie, Will you read to me?,season 8
Brian, Sure.,season 8
Stewie, What?! What the hell?! What's wrong with you?!,season 8
Brian, I HAD SEX WITH HER!,season 8
Stewie, What?!,season 8
Brian, I HAD SEX WITH HER AT THE MARRIOTT!!,season 8
Stewie, screams Why!?,season 8
Brian, I didn't know! I didn't know it was her!,season 8
Stewie," OH, MY GOD!",season 8
Brian," HOW DOES THIS HAPPEN?! WHEN THEY MOVE TO A NEW PLACE, THEY'RE SUPPOSED TO NOTIFY THE NEIGHBORHOOD! THAT'S HOW IT WORKS!",season 8
Stewie, He didn't actually move! He's just visiting!!,season 8
Brian, Hey!,season 8
Brian, I fucked your dad!,season 8
Quagmire," What the hell was that about, who were those guys!?",season 8
Peter, You think they were following us?,season 8
Quagmire," Aw, Joe, that's so dumb.",season 8
Peter," Hey, you know, Cleveland, you better hide the markers from your kids. Somebody colored in your Jesus.",season 8
Lois," Why you stuck-up, half-witted, scruffy-looking... nerfherder!",season 8
Stewie," C'mon Luke, join the dark side. It's really cool.",season 8
Stewie," Uh, there's me, the Emperor, this guy Scott. You'll meet him, he's awesome. Oh, and James Caan.",season 8
Lois, Oh no! We've lost Han! They've taken him to Jabba's palace!,season 8
Quagmire," Well, even though we know exactly where he is, we should rescue him in three years.",season 8
Brian," Why are you wearing Han's clothes? to the home audience Seriously, watch the actual movie. Lando is wearing Han's clothes in this scene. It's really weird.",season 8
Stewie," Join me and we can rule the galaxy as father and son! Y'know? I mean it doesn't have to be as father and son, it can be just as, a-y'know- as two really close guys who just happen to be men y'know, just, two good-lookin' guys sharin' a cramped office runnin' the galaxy together — y'know just, gettin' the job done y'know — maybe we, maybe we do it occasionally, but it's not weird, y'know, cause we're just, two guys with ragin' goals, y'know? I mean it's not even about the doin' it part — but thats a part of it — but it's not- it's not the whole thing.",season 8
Lois," through the ships loud-speakers Luke, if that's you, wave your right hand! beat I said wave your right hand! beat Your right hand!",season 8
Lois," Peter, this is Naomi.",season 8
Peter," Wait? You mean you too used to, you know, bump Japanese cartoon monkey logo mouths?",season 8
Lois," Well, let's just say Naomi and I experimented quite a bit in college.",season 8
Peter," No way! My wife messed around with another chick! Thank you, God!",season 8
Lois," Well, I think we made the right decision. I mean, sure. Havin' a baby costs a fortune. There's cutbacks on things we love. There's diapers and cryin' and late nights with no sleep. Flu shots and mumps and driver's ed and college tuition. But you know what? It's one more person to share the world with. Another little voice in the back seat of the car. One more Griffin to love and to love us in return.",season 8
Peter, to the home audience We had the abortion.,season 8
Stewie," to Brian She doesn't know what ""mister"" means.",season 9
Stewie," Oh, my God, seriously.",season 9
Stewie, after Stephanie is killed I can't help but feel this would be sadder if she wasn't so heavy.,season 9
Lois, Oh my God! It was him! It was James Woods! He killed Stephanie!,season 9
Peter," Jeez, I knew he was crazy but I didn't think he was a murderer.",season 9
Lois," Oh, my God! Peter, back it up!",season 9
Peter," Oh, really, Lois? I thought I might drive forward. I thought that-that might be a fun thing to do.",season 9
Chris, Stop fighting!,season 9
Lois, With a killer in the house?,season 9
Stewie, In a rapper like voice Killer in da hoouuuuse.,season 9
Peter," scared Oh, my God! I just realised something. James Woods hates me the most. That means he's probably gonna kill me next! cowboy voice Well, I reckon if I was a cattle rustler, I wouldn't be afraid.",season 9
Lois," Oh, Peter, that's good.",season 9
Peter," I know, Lois.",season 9
Peter," dressed in armor Check it out, I'm a robot from outer space! Hang on, I'm coming down. Go Go Gadget Skis! Jumps down and crashes into Joe who is knocked out by a vase Uh-oh.",season 9
Stewie," Neh, my secret room's bigger.",season 9
Chris," Um, okay.",season 9
Chris, Um...what does that mean?,season 9
Brian, Muriel? opens next door Muriel? Muriel? sniffs Nothing.,season 9
Stewie," Well, you actually know what she smells like?",season 9
Brian, I know what everybody smells like.,season 9
Stewie, Carl?,season 9
Brian, Cheetos.,season 9
Stewie, Mort?,season 9
Brian, Pennies.,season 9
Stewie, Derek?,season 9
Brian, Brut.,season 9
Stewie, Joe?,season 9
Brian, Feces.,season 9
Stewie, Consuela?,season 9
Brian, Pledge.,season 9
Stewie, Seamus?,season 9
Brian, Wood.,season 9
Stewie, Quagmire?,season 9
Brian, Wood.,season 9
Stewie, Wow.,season 9
Brian," You know, I..have to admit, before this Muriel thing, I-I thought you might be the murderer.",season 9
Stewie," Oh, my God! So insulted. Y-- Trust me, if this were my work, it would be much more artful. There's a poetry to what I do. You know how I would've killed James Woods?",season 9
Brian, How?,season 9
Stewie," I would have electrocuted him causing a temporary paralysis, and while he was still conscious but unable to move, I would've reached into his anus and pulled out his lower intestine slowly, hand over hand like a fancy magician scarf trick. Then I would fashion the intestine in a crude giraffe and give it to his children as a Christmas stocking stuffer...and then as his eyes start to close in final submission to death's cold embrace, I'd point to the ceiling and say, ""Is that your card?"" And stuck to the ceiling is the card that he picked earlier. Oh, I forget to tell you, he picked a card earlier.",season 9
Brian, Wow! You're an artist.,season 9
Stewie," Oh, thanks, you're nice. I screwed that up.",season 9
Quagmire, Wait a minute... something's not right here. sniffs We're short one vagina in this room!,season 9
Peter," after finding Stephanie's underpants Oh, my God! Are those Stephanie's underpants?",season 9
Quagmire," Oh, God.",season 9
Stewie, Looks like the crotch got chewed on by a walrus mouth.,season 9
Lois," laughs Look, it's got flowers! Ha, I mean why bother? Who's gonna see 'em?",season 9
Chris, Maybe someone in space. everyone laughs,season 9
Quagmire," Come on, guys, can't we all just be glad she's dead?",season 9
Stewie," after shooting Diane, who almost shot Lois If anyone's going to take the bitch down, it's gonna be me.",season 9
Lois," Look, Brian, all I'm saying is it's not normal for people to change their political views so radically overnight.",season 9
Brian," Lois, no offense, but you don't exactly know what you're talking about. I mean, you...you're not exactly a fountain of political knowledge yourself.",season 9
Lois, You want to know what I think is happening here?,season 9
Brian," Oh, this should be rich and overtaxed.",season 9
Lois," I think you just got to be in the ""out"" group. Whoever's on top, whoever's in power, whoever's successful, you gotta be on the other side or you don't feel like the smartest guy in the room. All you are, my dear, is a contrarian.",season 9
Brian," Oh, please, you could not be more off base.",season 9
Lois," Oh, yeah? Let me ask, what did you think of the movie Titanic?",season 9
Brian," Horrible, one of the worst movies ever made.",season 9
Lois," Mm-hm, what about Slumdog Millionaire?",season 9
Brian," Overrated, just a terrible movie.",season 9
Lois, Cocktail.,season 9
Brian," Actually, not a bad film. You know, as classically structured cinema, Cocktail was one of the best films of its era.",season 9
Lois," You make me sick, Brian.",season 9
Brian, Does this mean I'll never see you again?,season 9
Peter," Oh my God! Carter and his whore gasp in shock Mr. Pewterschmidt, you're having an affair? Ewww!",season 9
Peter, Ewww!,season 9
Meg, Chris?,season 9
Chris, Meg?,season 9
Meg," OH, MY GOD! What are you doing here?!",season 9
Chris, Tryin' to grab some boob!,season 9
Meg, From your sister?!,season 9
Chris, I didn't know it was you!,season 9
Meg," Well, who did you think it was?!",season 9
Chris, Some bitch who cares!,season 9
Meg," coughs Oh, my God! Oh! We did so much!",season 9
Chris, SHUT UP! SHUT UP! SHUT UP!,season 9
Meg, WE'RE DISGUSTING!! WE'RE A DISGRACE TO OUR FAMILY!!!,season 9
Stewie," Brian, settle down. You're worse than that guy from Penguin Publishing.",season 9
Brian," You know, what the hell's your problem, Zsa Zsa?",season 9
Brian, Glenn? Glenn Quagmire? Wow! What are you doin' here?,season 9
Quagmire," not surprised Oh, hi, Brian. Just waitin' for Santa, like everyone else.",season 9
Brian," Cool, cool. We'll just hang with you guys. approaches Quagmire's niece Hey, who's this little guy? Is this your nephew? Hey, buddy! You excited to see Santa? Hope you've been a good boy this year.",season 9
Quagmire," That ""little guy"" is my niece Abby, you douche. Her hair's short because of the chemotherapy.",season 9
Stewie, Uh-oh.,season 9
Quagmire, Do you know how much talking it took to get her outta the house because of her no-hair?,season 9
Brian," Gosh, I didn't know. I'm so sorry.",season 9
Quagmire," Oh, you're sorry? For what? That waiting in line is such a catastrophe for you'd rather destroy the confidence of a 5-year-old cancer patient?",season 9
Brian," Aw, c'mon. I didn't know she was dying.",season 9
Quagmire, Who said anything about dying?,season 9
Quagmire," holds her close No, sweetheart, you're not dying, 'cause we're gonna see Santa, and he's gonna give you a new brain. turns to Brian, unhappily gritting his teeth Get outta here, Brian. Just get outta here.",season 9
Stewie," Should've gone into politics, Bri.",season 9
Peter," Oh, yeah, Drew. I wanna say hi to Lois, Brian, Chris, Stewie, Meg, Joe, Bonnie, Quagmire, Cleveland, Mort, Seamus, Adam West, Dr. Hartman, Bruce, Carter, Babs, Tom Tucker, Angela, Opie, Carl, Herbert, Jillian, Consuela, Giant Chicken, Greased-Up Deaf Guy!",season 9
Peter," Whoa! Paramedics, come on down!",season 9
Peter," Very well, my brother. Let us lead him on the path of righteousness!",season 9
Meg," Mr. Swanson, can I ask you a personal question? What is it like having a disability?",season 9
Meg," I guess I can relate to that. I mean, sometimes it's really hard being me, so when life gives me lemons, I guess I just make Meg-o-nade.",season 9
Peter, I think we should go live with Mom.,season 9
Stewie," I just heard all of that, and I just want to say this family is fucking disintegrating.",season 9
Chris, Meg has something she wants to tell you.,season 9
Meg," Chris, please, I'm sorry.",season 9
Chris, Say it!,season 9
Meg, Chris is a failure!,season 9
Quagmire," Uh, okay.",season 9
Chris, Now we're goin' to the Swansons'!,season 9
Lois," Oh, my God! I think Chris is havin' a heart attack!",season 9
Peter, sits his wife back down We're not opposed to leave the table.,season 9
Brian," Hey, you okay?",season 9
Quagmire, Yup. Just waiting for my car.,season 9
Brian," Look, I'm sorry I did what I did. Cheryl's great and I hope someday you get the chance to be with her.",season 9
Quagmire," No. I'm never gonna get that chance again. I blew it for good, Brian, and you know what? I deserve to be lonely. I'm no saint, I dated Jillian just to hurt you.",season 9
Brian," It's okay. It probably wouldn't have worked out like everything else. Hey, you know, maybe it took us stealing each other's girls to finally become friends.",season 9
Quagmire," admittedly Yeah, maybe.",season 9
Brian," Boy, Carol's lucky to have a sister like Lois.",season 9
Peter," You're tellin' me. I always wanted a brother or sister, but instead I got a broster.",season 9
Peter," Uh... Uh-- I-- Uh, I-I don't know.",season 9
Brian," Aw, don't feel bad, Peter. Hey, I know what'll cheer ya up. leaves Hey, where the hell's my banana thing?",season 9
Stewie, appears behind the couch in Brian's banana suit and sings and dances It's Peanut Butter Jelly Time!,season 9
Peter," laughs Oh, my God! Oh, Stewie! That is so funny! I did not see that comin'! leaves",season 9
Brian, But that was my thing.,season 9
Stewie, I'm pretty sure it was the Internet's thing.,season 9
Peter," Now, I know some teachers think they're workin' outside the box when they have class on the lawn, but I'm gonna take it a step further. We're gonna do peyote in the desert.",season 9
Meg," dancing Oh, it's beautiful! Everything is so beautiful! Come dance with me, Dad!",season 9
Peter," Soon, Meg. Soon. But first, I must inhale. inhales And again. inhales And again. inhales, pause Let's go to the Hollywood Hills and kill a bunch of people.",season 9
Peter, Your old boyfriend? The one with the penis?,season 10
Peter, Shirts off! I want to see who's got bigger pecs. tears off his shirt,season 10
Lois, Peter!,season 10
Peter," Well, they look better when they're oiled up. to Chris Pass the salad dressing. Oh no, it's an almost empty squeeze bottle. Hang on. squirts whatever is left onto his body Eh, it's all out. to Chris There's dressing on that salad! Gimme that salad! puts some salad onto his body Yeah, who's the better man now, Ross?!",season 10
Peter," Oh yeah? Is that right? Well, so are we!",season 10
Lois, We are?,season 10
Brian," I think he's right about that. After all, we couldn't even turn the double play.",season 10
Peter," Alright, Griffins, on the ground, we're goin' second. Let's turn two here. Ground ball's a double play ball plays in second. Let's look sharp. Tough D, tough D. Let's flash that leather. Head in the game. Play's at second. This infield is a Great Wall of China, nothin's gettin' past us. Good D, behind ya, Bri, good D all around. a fastball punches Peter in the throat, changing his voice to sound like Stewie I'm okay, everyone. Don't worry. I am okay. My voice sounds weird, I know, but I feel fine.",season 10
Quagmire," Thanks to you, TV's a vast wasteland. You know how I know that phrase? I read it in a book, you monster!",season 10
Peter," I'm Peter Griffin. I'm the guy who ruined television, and I'm the guy who's gonna fix it!",season 10
Peter, Aha! Looks like this is one we beat you to!,season 10
Peter," I learned how to do a somersault. Peter tries to do it, but falls over Did I do it?",season 10
Peter," I guess all the time Quagmire should've been saying ""Wiggity"".",season 10
Quagmire," Baldness is for women's crotches, not men's heads.",season 10
Stewie, You bastard!! You've been using my time machine to nail your bar skanks!,season 10
Brian," Oh, come on! They're not all bad.",season 10
Stewie," Oh, yes. I've seen the women you bring home. That stutterer, she was a real prize.",season 10
Lois, How are you enjoying your meal?,season 10
Peter," Oh, for cryin' out loud. walks up to the thermostat and turns up the heat",season 10
Lois," Peter, why are you turnin' up the heat again?",season 10
Peter," Lois, this woman is obviously freezing.",season 10
Stewie," Somehow, my machine seems to have reversed the direction of time.",season 10
Brian," Reversed the direction of time? Stewie, what does that mean? I don't get it.",season 10
Brian," Okay, now I get it.",season 10
Stewie, What the devil is that?,season 10
Brian, It's Peter and Chris. Sounds like they're in trouble.,season 10
Stewie, My God. Why is there so much vomit everywhere?,season 10
Brian," points at a bottle Is that the Ipecac bottle? suddenly realizes Oh, no! No, please, not this!",season 10
Stewie," Oh, God. It's not gonna be coming out of us, it's gonna be going... throws up",season 10
Brian," panicked Oh, dear God! throws up WHAT THE HELL?!",season 10
Stewie, I don't wanna! I don't wanna- !! regurgitates,season 10
Chris," Dad, I'm scared! vomits and cries",season 10
Stewie," Oh God, this is so disgusting! I think I'm gonna puke! regurgitates FUCK!",season 10
Brian," Stewie, I don't care what it takes. We've GOT to fix this! We just ate so much vomit!",season 10
Chris," You guys heard the baby talking in there, didn't you?",season 10
Lois," Chris, that's ridiculous!",season 10
Stewie," Watch your back, Simpsons, we're less than halfway there.",season 10
Peter, Let's use our eyes ... to see.,season 10
Brian, Stupid cat!,season 10
Peter, Quagmire and I'll help you bring this guy to justice!,season 10
Quagmire," through clenched teeth Peter, what'd I say about you volunteering me for shit?",season 10
Lois," Do me, Peter. Do me right in the basement.",season 10
Peter," I'm gonna get our old mom back! Brian, keys! Chris, beer! Meg, UG-LAAAAAY!",season 10
Stewie, In my office! Now!,season 10
Quagmire, How're you girls doin' on popcorn?,season 10
Quagmire, Here ya go. tilts popcorn containter towards girl with his crotch.,season 10
Lois," Meg, Kent's here!",season 10
Meg," Just putting on my lipstick! shaves, cuts Dammit!",season 10
Stewie," Rupert, did you hear that? Meg's boyfriend is in love with me. Not that I care, I mean, it won't matter once I explain to him what's going on with us. But what would I tell him is going on with us?",season 10
Stewie," Dear God, I have a shoe appointment in the morning and I want to be fresh!",season 10
Lois," Oh, I wouldn't worry about it, Bonnie. I've put Stewie in the oven a buncha times. As long as you come to your senses in 15 minutes, everything's fine.",season 10
Peter," Lois, can I go slip'n'slide in the yard?",season 10
Lois, Has it been half an hour since you've eaten?,season 10
Peter," Yes, almost.",season 10
Lois," Okay, I just wanna be sure you don't get a cramp.",season 10
Peter," Yay, poor people water fun!",season 10
Meg," So you guys are goin' to Bethlehem, huh? I went there one time on a donkey's night out. Oh my God; I got sooo hammered!",season 10
Peter, trying to have sex with Mary/Lois I can't believe how hard you're making me work.,season 10
Lois," Okay, I think I got it. How's this?... in Consuela's accent No, no, no.",season 10
Peter," Hey, what's that in there?",season 10
Peter," Aw cool! Hey, c'mon, Brian. Try it with me. both enter. Guide closes the door; both scream and exit with heads in each other's bodies",season 10
Peter, Things got crazy so fast!!,season 10
Peter, We were talkin' about Meg. We-we call her Chris so she doesn't know.,season 10
Meg, off-camera Fuck you!,season 10
Peter," Shut up, Chris!",season 10
Peter," A week ago, we call him stupid and now he's given tours at a space shuttle. Negative reinforcement, that's the key. kicks Stewie Right, stupid?",season 10
Stewie, Ow! I'll do better!,season 10
Lois," Everyone, strap yourselves in! Stewie, hold my hand!",season 10
Stewie," No, thank you. I prefer to die giving you the finger. Stewie does so",season 10
Peter," If this is what it takes to get out of Florida, fine.",season 10
Meg, touring the shuttle with Chris So do you know how all this stuff works?,season 10
Chris," Well, I don't know what most of these buttons do, but I know this big red one is the one you press to launch.",season 10
Stewie, Ooo! Big red button!,season 10
Brian, as they are being blasted off You know what? You only live once. I am sticking my head out the window. he does YES! THIS IS THE BEST PART OF WHATEVER'S SO ENJOYABLE ABOUT THIS!,season 10
Brian, What are you doing?,season 10
Chris, Saving our lives.,season 10
Peter, I wish he hadn't said that. Now I'm kinda rooting against him.,season 10
Stewie," What the fuck are you talking about? The play I wrote, have you seen it?",season 10
Stewie," You tried to destroy it, didn't you? I knew my play was good, just like I knew your play was a mediocre patchwork of hackneyed ideas and tired cliches. You have no idea how hard it was to sit in that theater with all those braying hyenas. Couldn't you tell something was up when Chris and the fat man could follow the plot? I mean, it took Peter a year to figure out ""Stuart Little"".",season 10
Peter," I just figured it out. ""Stuart"" means mouse.",season 10
Lois," No, Peter.",season 10
Peter," ""Little"" means mouse?",season 10
Lois," No, Peter.",season 10
Peter, I feel so old and in the way.,season 10
Brian, It's still a good play!,season 10
Stewie," It's filled with terrible double entendres, puns and stolen bits. There's a line in there from ""Seinfeld"".",season 10
Brian, I never saw that episode.,season 10
Stewie," I have a voice. You understand that? A writer needs a voice and I have one. You don't. Your play panders to the lowest common denominator, Brian. And it doesn't even do that well!",season 10
Peter, Where will you two be fucking going on your scummymoon? And can I plan your bridal golden shower?,season 10
Peter, Your new wife is a human toilet.,season 10
Lois," Welcome to our home, Charmisse. Sit on my lips you like. That chair with the garbage bag taped over it looks pretty good.",season 10
Stewie," Meg, you look good next to her.",season 10
Quagmire, I need you to have sex with me while she watches.,season 10
Peter, I have some demands.,season 10
Quagmire, What the fuck is going on with my life?!,season 10
Brian," Oh my God. Stewie, what happened?",season 10
Stewie, (Furiously) NONE OF YOUR FUCKING BUSINESS WHAT HAPPENED!,season 10
Brian," (Angrily) Geez, you kissed your mother with that mouth? (Stewie throws up again while Brian recoils)",season 10
Lois," Peter, are you ready for your Valentine's gift?",season 10
Stewie," No, but I'm ready for therapy.",season 10
Quagmire, after sex I thought we could get some breakfast.,season 10
Quagmire," Clearly, you're not familiar with how this works.",season 10
Chris, I'm not really tired yet.,season 10
Lois," That was a fun birthday party, huh, Stewie?",season 10
Stewie, That kid was Indian and eleven years old. Where are you finding my friends?,season 10
Lois, It's like our privates were shaking hands after a successful business meeting in a swamp.,season 10
Stewie, Can I interest you guys in a two-and-a-quarter way?,season 10
Quagmire, I wasn't gonna.,season 10
Quagmire, Impatiently I said I wasn't!,season 10
Quagmire," Joe, you telling me not to has no effect on me whatsoever. I will not get married.",season 10
Quagmire, Impatiently Yeah that's what I said... I wouldn't do it!,season 10
Quagmire," Angrily J-Joe, you realize what you're telling me not to do, I already am not doing! I know I should never meet one of those sex operators ever!",season 10
Peter," Thanks for the lift, Gil. I think I'll take the express down.",season 10
Lois, Hello?,season 10
Peter, Is dinner almost ready?,season 10
Lois," Yes, Peter. God, where are you? I can barely hear you.",season 10
Peter, Pull back my chair ever so slightly.,season 10
Peter," Ahh, Daddy's home.",season 10
Peter, I just don't think he could have done it. Guilty!,season 10
Peter," Oh, guilty is the other one? exasperated Well, I don't know.",season 10
Lois," Peter, how long do we have to sit here?",season 10
Peter," Until I'm not angry anymore, you naked buncha bitches!",season 10
Peter, I switched seats.,season 10
Peter, Enough!... was a movie with Jennifer Lopez that did not live to expectations.,season 10
Quagmire, And now to take my position. This is what I call the butterpat.,season 10
Stewie," There's a maniac out there! He's cutting people's power off, breaking into their homes and slitting their throats! the lights suddenly go out ...And we're dead.",season 10
Peter, What the hell kind of dog is that?,season 10
Peter," Lift up the shades, there's a man on the wing! Joe lifts up the shades I'm the man on the wing.",season 10
Quagmire," I don't know if I can pull out of this, Giggity.",season 10
Stewie, weakly You... look... fat.,season 10
Peter, sighs I'm bored.,season 10
Quagmire," Peter, you made me crash the damn plane!",season 10
Peter," Okay, I know you're a pilot and everything, but not everyone likes to talk about planes as much as you, Quagmire.",season 10
Peter, in a deep voice I even won a deep voice contest with Joe.,season 10
Peter, I made myself heard.,season 10
Peter, I've come from where I've been.,season 10
Peter, Fletcher met the long arm of the law at the wrong end of a shotgun in the deep end of a grave at the far end of a dead end road.,season 10
Peter," Look, Lois! I have my friends and you have groceries and all those rusty pink razors in the shower. Now just stick to what's intended for you and leave my things to me.",season 10
Lois," Hey, Horace, get that wiener outta your hand and give us 3 more beers over here.",season 10
Peter," Hey, Horace, why don't ya take that wiener outta your hand and give me a beer!",season 10
Chris," Hey, Meg. Who's your date? He looks like a real stiff.",season 10
Peter, There's only one drinking spot for us and it's the Clam.,season 10
Quagmire," But Peter, it's closed. We can't go in there.",season 10
Peter," Quagmire, when a girl says she doesn't want to have sex with you, do you take that as an answer?",season 10
Quagmire, My lawyer has advised me not to answer that question.,season 10
Meg," puts make up on corpse Wow, that really works. Hm, maybe I'll try that on myself.",season 10
Meg," Oh, eh... You have what we call a ""closed-casket-face"".",season 10
Lois, to Peter I forgot you don't even know your ass from a hole in the ground.,season 10
Peter, Is that my ass?,season 10
Meg, You guys. I think this is a meth lab.,season 10
Lois, Oh my god. You mean like as in D-R-U-G-S? Aren't those I-L-L-E-G-A-L?,season 10
Stewie, What's going on? What are you guys talking about?,season 10
Lois," Uh oh, someone's getting cranky. picks up Stewie I think he needs an N-A-P.",season 10
Stewie," What's happening? Where are you taking me? Man, I got to crack this code.",season 10
Brian," Oh my God, Stewie. It worked! We're in Vegas.",season 10
Stewie," Yeahhh, alright! So let's hit the hospital, get checked out for teleportation cancer and then part-tyyyy!",season 10
Stewie, Well... this is it.,season 10
Brian, I guess so.,season 10
Stewie, Count to three?,season 10
Brian, Yep.,season 10
Brian, jumps off the balcony but Stewie doesn't 3!,season 10
Stewie," holds onto the railing I'm sorry, I can't, I want to live! I didn't really think we were gonna do it!",season 10
Brian, falls to his death YOU DICK!,season 10
Stewie," Oh, my God, Brian! Brian, no! Good Lord, what have I done?! tries to run out of the room I better get the hell out of here! trips over his backpack and finds the money the other pair had won What the deuce? Where did this come from? slides the money tops Well, looks like Archibald Meatpants is gonna have a fun night.",season 10
Brian, Oh my god! This place is a dump!,season 10
Stewie," looking at a leaflet Let's not be so quick to judge. Says here there's a continental breakfast. Oh, the continent is Africa.",season 10
Brian," Stewie, this place is a complete pit! Don't ya think it's weird we have to keep checking in every 20 minutes?",season 10
Stewie," continues reading Also, the porn's free, but we have to watch it from the lobby.",season 10
Peter, to Lois I want you on my team for everything... except for sports.,season 12
Stewie, Ah! Friendly fire!,season 12
Quagmire, We're supposed to dig this kid up. Any volunteers?,season 12
Chris, Why are your nipples poking into me?!,season 12
Meg, Sorry! That happens when I'm cold.,season 12
Chris, But why are there 3 of them?!,season 12
Meg, There aren't! Two of them are moles.,season 12
Chris, Those numbers still don't add up!,season 12
Lois," Oh, look who's back; the grave robber.",season 12
Peter," Hey, Lois.",season 12
Lois," So, what happened? You find your treasure?",season 12
Peter," No, I realised something after you left; It's not the treasure that matters. All that really matters is the money you get in exchange for the treasure. I guess I had to learn that the hard way.",season 12
Peter," glumly Welp, now we know. I can taste what he eats.",season 12
Quagmire, Remind me again. Chip is that African kid you adopted?,season 12
Peter, No that's Chocolate Chip. We gave him back to Kenya.,season 12
Quagmire, That's my word.,season 12
Peter," Oh, he's eating. shouts at the door We'll come back when you're done eating!",season 12
Peter," Well, sometimes Quagmire likes to hang out under all the clutter in my garage, so why don't we just start sorting stuff and throwing stuff away, but obviously checking with me first before you throw stuff away.",season 12
Meg, He's going to kill me! I can already picture my funeral!,season 12
Peter," Thanks, didn't want to pay for the hole.",season 12
Meg," Chris, you have my back, right?",season 12
Chris, I don't know. lifts up his shirt and sees his back covered with bacne Yeah.,season 12
Brian," Uh, yeah, that's me.",season 12
Brian," sees something terrible in the package, it's revealed to be Peter's own penis he cut off Aah! Oh God!",season 12
Peter," laughs What's in the box, Brian? I got you good! Blood is coming out and comes to Peter's pants I don't feel right. I want it back. Collapses",season 12
Brian, You gonna put your clothes on?,season 12
Peter," Yes, yes, I swear.",season 12
Brian, You gonna keep 'em on?,season 12
Peter," Yes, I promise. I'll never bother you again with my body. Please, just make this stop!",season 12
Brian, Good.,season 12
Chris," Dad, can you give me a ride to the-- screams What is that thing?! Make it go away! claws his eyes out",season 12
Lois," What's going on in here? seeing that Brian has shaved off all his fur Oh my god, is that a fuckin' rat?! Peter, hold it down, I'm gettin' the gun!",season 12
Peter," Oh, I did that on the Italian ""Shut-up-a-You-Facebook.""",season 12
Lois, Last night was the best sex I ever had.,season 12
Peter," Me too. We haven't done it like that since we were engaged, but allowed to sleep with other people.",season 12
Lois, What are you talking about?,season 12
Peter," Kids, I've got an announcement...",season 12
Stewie, sitting near the hem of Peter's robe on the floor He's wearing a rubber.,season 12
Peter, We're staying in Italy. We're Italian now.,season 12
Brian, What?!,season 12
Meg, Are you kidding?,season 12
Stewie," Well, if we're going to be Italian, I guess we should start murdering our brothers.",season 12
